Perfume Name,Brand,Gender,Top Notes,Middle Notes,Base Notes,Main Accords,Season,Time of Day
Cassandra Jeanne Arthesfor women,Jeanne Arthes,for women,Aldehydes and Fruity Notes,Ylang-Ylang and Rose,Musk and Woodsy Notes,"['aldehydic', 'woody', 'yellow floral', 'fresh', 'sweet', 'musky', 'rose', 'soapy', 'fruity', 'powdery']",Spring,Night
Cassandra Blanc Jeanne Arthesfor women,Jeanne Arthes,for women,Fruity Notes and Amalfi Lemon,Floral Notes,"Vanille, Patchouli, Sandalwood, Virginia Cedar and Musk","['woody', 'vanilla', 'patchouli', 'powdery', 'fruity', 'warm spicy', 'sweet', 'balsamic', 'floral', 'earthy']",All Season,Night
Cassandra Bleu Jeanne Arthesfor women,Jeanne Arthes,for women,Bergamot,Ylang-Ylang and Rose,Civetta and Musk,"['musky', 'yellow floral', 'citrus', 'animalic', 'powdery', 'sweet', 'woody', 'rose', 'fresh spicy', 'floral']",Spring,Any
Cassandra Bouquet de Pivoines Jeanne Arthesfor women,Jeanne Arthes,for women,"Peach, Anise and Bergamot","Peony, Rose, Violet and Jasmine","Raspberry, Musk and Sandalwood","['floral', 'rose', 'fruity', 'fresh', 'powdery', 'sweet', 'violet', 'white floral', 'musky', 'woody']",Spring,Night
Cassandra Dark Blossom Jeanne Arthesfor women,Jeanne Arthes,for women,"Sorbet, Pear, Bergamot and Dew Drop","Praline, Cashmere Wood and Ambergris",White Sandalwood and Musk,"['sweet', 'fruity', 'woody', 'musky', 'powdery', 'amber']",Winter,Night
Cassandra Rose Jasmin Jeanne Arthesfor women,Jeanne Arthes,for women,"Jasmine Tea, Pear, Bitter Orange and Freesia","Jasmine, Rose, Magnolia and White Peach","Musk, White Cedar Extract and Amber","['floral', 'white floral', 'fresh', 'rose', 'fruity', 'citrus', 'musky', 'sweet', 'powdery', 'woody']",Spring,Any
Cassandra Rose Rouge Jeanne Arthesfor women,Jeanne Arthes,for women,"Pear, Black Currant and Wild Berries","Rose, Heliotrope and Jasmine",Vanilla and Cedar,"['fruity', 'vanilla', 'woody', 'rose', 'sweet', 'powdery', 'floral', 'aquatic']",Spring,Night
Cassandra Roses Blanches Jeanne Arthesfor women,Jeanne Arthes,for women,"Rose, Lemon and Black Currant","Rose Jam, Pear, Lily-of-the-Valley and Litchi","Peach, Amber and Sandalwood","['sweet', 'rose', 'fruity', 'fresh', 'citrus', 'white floral', 'woody']",Spring,Any
Cassandra Violette Intense Jeanne Arthesfor women,Jeanne Arthes,for women,Hawthorn and Black Currant Blossom,"Violet, Rose and Jasmine","Vanilla, Opoponax and White Musk","['powdery', 'violet', 'floral', 'vanilla', 'sweet', 'amber', 'balsamic', 'woody', 'rose', 'white floral']",Spring,Night
Club Aficionado for Men Jeanne Arthesfor men,Jeanne Arthes,for men,"Artemisia, Clary Sage, Tarragon, Apple and Bergamot","Brazilian Rosewood, Cedar, Jasmine, Lily-of-the-Valley, Cloves and Patchouli","Musk, Sandalwood, Oakmoss and Vetiver","['woody', 'aromatic', 'white floral', 'warm spicy', 'herbal', 'earthy', 'powdery', 'musky', 'fresh', 'balsamic']",Fall,Any
CO2 Pink Label Jeanne Arthesfor women,Jeanne Arthes,for women,Mandarin Orange and Rosemary,"Jasmine, Rose, Hiacynth and Lily-of-the-Valley","Sandalwood, Cedar, Musk and Vanilla","['white floral', 'rose', 'citrus', 'floral', 'woody', 'green', 'powdery']",Spring,Any
CO2 Pour Femme Jeanne Arthesfor women,Jeanne Arthes,for women,"Hiacynth, Tangerine, Rosemary, Artemisia and Green Leaves","Peony, Vanilla, Jasmine, Lily-of-the-Valley and Rose","Sandalwood, Vanilla, Cedar and Musk","['floral', 'woody', 'green', 'fresh', 'rose', 'fresh spicy', 'citrus', 'powdery', 'aromatic', 'warm spicy']",Spring,Day
Cobra Jeanne Arthesfor women,Jeanne Arthes,for women,"Tagetes, Aldehydes, Tangerine and Orange","Tuberose, Spices, Ylang-Ylang, Jasmine, Peach, Orange Blossom, Orris Root and Red Berries","Sandalwood, Vanilla, Musk, Vetiver and Cedar","['white floral', 'woody', 'sweet', 'powdery', 'tuberose', 'aromatic', 'warm spicy', 'fruity', 'citrus', 'aldehydic']",All Season,Night
Cobra Amarillo Jeanne Arthesfor women,Jeanne Arthes,for women,"Aldehydes, Tangerine, Tagetes, Orange and Peach","Ylang-Ylang, Tuberose, Spicy Notes, Orange Blossom, Jasmine, Red Berries and Orris Root","Sandalwood, Vanilla, Cedar, Musk and Vetiver","['woody', 'white floral', 'sweet', 'citrus', 'powdery', 'yellow floral', 'vanilla', 'warm spicy', 'tuberose', 'aldehydic']",Spring,Night
Cobra for Her Version Inedite Jeanne Arthesfor women,Jeanne Arthes,for women,"Lotus, Amalfi Lemon and Cassis","Rose, Jasmine, Iris, Freesia, Ylang-Ylang and Mimosa","Sandalwood, Vanilla, Musk, Amber and Brazilian Rosewood","['woody', 'floral', 'powdery', 'rose', 'white floral', 'aromatic', 'yellow floral', 'citrus', 'warm spicy', 'musky']",Spring,Night
Cobra for Him Version Inedite Jeanne Arthesfor men,Jeanne Arthes,for men,"Orange Blossom, Coriander, Bergamot, Rosemary and Amalfi Lemon","Lavender, Cinnamon, Ginger and Angelica","Vanilla, Tonka Bean, Sandalwood and Oakmoss","['aromatic', 'vanilla', 'warm spicy', 'citrus', 'woody', 'fresh spicy', 'powdery', 'lavender', 'sweet', 'cinnamon']",Winter,Any
Cobra Hot Game Jeanne Arthesfor men,Jeanne Arthes,for men,"Tangerine, Grapefruit and Mint","Nutmeg, Cardamon, Rose and Cinnamon","Patchouli, Leather, Amber and White Wood","['warm spicy', 'fresh spicy', 'patchouli', 'woody', 'aromatic', 'leather', 'citrus', 'rose', 'earthy', 'floral']",Fall,Any
Cobra Ice Breaker Jeanne Arthesfor men,Jeanne Arthes,for men,Green Apple and Mint,Basil and Freesia,Pine and Precious Woods,"['green', 'aromatic', 'fresh spicy', 'woody', 'fruity', 'fresh', 'conifer']",Spring,Day
Collection Azur Balcon Méditerranéen Jeanne Arthesfor women,Jeanne Arthes,for women,Lemon and Mint,Jasmine and Peony,Sugar and Cedar,"['sweet', 'citrus', 'aromatic', 'green', 'vanilla', 'fresh', 'white floral', 'floral', 'fresh spicy']",Spring,Day
Collection Azur Riviera Sunset Jeanne Arthesfor women,Jeanne Arthes,for women,"Pineapple, Lemon and Cassis","Peach, Caramel and Cherry","Floral Notes, Sandalwood and Musk","['fruity', 'sweet', 'caramel', 'citrus', 'aromatic', 'fresh', 'tropical']",Summer,Any
Collection Azur Virée en Mer Jeanne Arthesfor women,Jeanne Arthes,for women,"Lemon Peel, Lily of the Valley and Peach Blossom","Tiare Flower, Sea Notes and Orange Blossom","Solar Notes, Musk, Cedar and Amberwood","['white floral', 'marine', 'citrus', 'aromatic', 'woody', 'aldehydic', 'sweet', 'musky']",All Season,Night
Colonial Club Jeanne Arthesfor men,Jeanne Arthes,for men,Lemon and Mint,Fruity Notes and Jasmine,"Musk, Patchouli and Cedar","['fruity', 'white floral', 'woody', 'musky', 'sweet', 'patchouli', 'citrus', 'aromatic', 'powdery', 'green']",Spring,Any
Colonial Club Signature Jeanne Arthesfor men,Jeanne Arthes,for men,"Pear, Bergamot and Sage","Tonka Bean, Lavender and Orangewood","Sweet Notes, Ambergris and Cedar","['sweet', 'fruity', 'aromatic', 'citrus', 'lavender', 'vanilla', 'amber', 'aquatic']",All Season,Night
Colonial Club Ypsos Jeanne Arthesfor men,Jeanne Arthes,for men,"Red Berries, Bergamot and Grapefruit","Rhubarb, Lavender and Geranium","Amber, Vetiver and Patchouli","['fruity', 'aromatic', 'amber', 'fresh spicy', 'sweet', 'green', 'citrus', 'lavender', 'woody', 'sour']",Fall,Day
Cotton Club Jeanne Arthesfor men,Jeanne Arthes,for men,Lavender and Bergamot,Lily-of-the-Valley,"Vanille, Musk, Virginia Cedar, Sandalwood and Patchouli","['woody', 'powdery', 'vanilla', 'lavender', 'musky', 'aromatic', 'citrus', 'fresh spicy', 'warm spicy', 'patchouli']",All Season,Any
Cotton Club Women Jeanne Arthesfor women,Jeanne Arthes,for women,Brazilian Rosewood and Bergamot,"Plum, Sandalwood, Peach, Lily-of-the-Valley, Violet, Cyclamen, Rose and Cassia","Amber, Sandalwood, Musk, Vanilla and Cedar","['woody', 'powdery', 'fruity', 'amber', 'sweet', 'floral', 'fresh', 'white floral', 'violet', 'balsamic']",Spring,Night
Extreme Limit Rock Jeanne Arthesfor men,Jeanne Arthes,for men,"Artemisia, Fern and Green Notes","Lavender, Cinnamon and Caraway","Sandalwood, Musk, Tonka Bean and Vanille","['aromatic', 'herbal', 'fresh spicy', 'woody', 'lavender', 'warm spicy', 'powdery', 'bitter']",All Season,Day
Extreme Limite Energy Jeanne Arthesfor men,Jeanne Arthes,for men,Citruses and Bergamot,Apple and Lavender,"Cedar, Amber and Musk","['citrus', 'woody', 'fresh spicy', 'fresh']",Summer,Any
Fuel Power for Men Jeanne Arthesfor men,Jeanne Arthes,for men,"Cinnamon, Orange and Bergamot",Orange Blossom and Iris,"Incense, Woodsy Notes and Amber","['warm spicy', 'cinnamon', 'woody', 'smoky', 'amber', 'balsamic', 'iris', 'white floral', 'citrus']",Winter,Night
Fuel Power for Women Jeanne Arthesfor women,Jeanne Arthes,for women,Apricot and Mandarin Orange,Orange Blossom and Jasmine,"Marshamallow, Vanila, Caramel and Patchouli","['sweet', 'white floral', 'citrus', 'powdery', 'vanilla', 'caramel', 'fruity', 'patchouli']",All Season,Night
Golden Goal Jeanne Arthesfor men,Jeanne Arthes,for men,Bergamot and Cardamon,"Lavender, Spices and Cumin",Vetiver and Cedar,"['aromatic', 'citrus', 'warm spicy', 'lavender', 'fresh spicy', 'woody', 'floral']",All Season,Day
Ice Breaker Jeanne Arthesfor men,Jeanne Arthes,for men,"Bergamot, Cypress and Lemon","Cinnamon, Cloves, Ginger, Coriander and Geranium","Amber, Patchouli, Musk, Sandalwood, Cedar and Oakmoss","['warm spicy', 'woody', 'amber', 'patchouli', 'musky', 'powdery', 'earthy', 'aromatic', 'citrus', 'animalic']",Fall,Night
JS Magnetic Power Jeanne Arthesfor men,Jeanne Arthes,for men,"Bitter Almond, Rosemary and Bergamot","Spices, Jasmine and Patchouli","Amber, Bay Leaf and Leather","['almond', 'fresh spicy', 'amber', 'aromatic', 'warm spicy', 'nutty', 'fruity', 'leather', 'animalic', 'citrus']",Winter,Any
JS Magnetic Power Night Jeanne Arthesfor men,Jeanne Arthes,for men,"Pineapple, Ginger and Lemon",Myrrh and Lavender,"Tonka Bean, Vanilla and Cedar","['sweet', 'fruity', 'warm spicy', 'vanilla', 'amber', 'fresh', 'tropical', 'aromatic', 'citrus', 'balsamic']",All Season,Night
JS Magnetic Power Sport Jeanne Arthesfor men,Jeanne Arthes,for men,"Grapefruit, Lemon, Melon and juniper berry",Pepper and Violet Leaf,"Musk, Amber, Cedar and Oakmoss","['citrus', 'fresh spicy', 'aromatic', 'ozonic', 'aquatic', 'woody', 'fresh', 'musky']",Summer,Day
JS Navy Blue Jeanne Arthesfor men,Jeanne Arthes,for men,Lemon and Water Mint,"Lavender, Rosemary, Cypress, Geranium and Nutmeg","Amber, Sandalwood and White Musk","['aromatic', 'fresh spicy', 'lavender', 'citrus', 'woody', 'green', 'powdery']",All Season,Day
JS Women Jeanne Arthesfor women,Jeanne Arthes,for women,"Black Currant, Peony and Bergamot","Violet, Jasmine, Rose, Rosebay Willowherb, Magnolia and Peach","Moss, Patchouli, Cedar, Tonka Bean, Amber and Musk","['floral', 'fruity', 'violet', 'powdery', 'white floral', 'woody', 'fresh', 'rose', 'soft spicy', 'aromatic']",Spring,Night
La Voile Rouge Jeanne Arthesfor men,Jeanne Arthes,for men,Cassis and Bergamot,Lavender and Vetiver,"Oakmoss, Patchouli and Cedar","['woody', 'earthy', 'aromatic', 'mossy', 'patchouli', 'citrus', 'lavender', 'fresh spicy', 'green', 'fruity']",Fall,Day
Les Lions D'Arthes 2001 Jeanne Arthesfor women,Jeanne Arthes,for women,"Tagetes, Orange, Tangerine, Black Currant, Bergamot and Lemon","Peach, Jasmine, Ylang-Ylang, Orris Root, Cloves, Rose and Nutmeg","Vanilla, Sandalwood, Musk, Patchouli, Cedar and Oakmoss","['woody', 'sweet', 'powdery', 'fruity', 'fresh spicy', 'vanilla', 'citrus', 'balsamic', 'warm spicy', 'aromatic']",All Season,Night
Les Lions D'Arthes 2012 Jeanne Arthesfor women,Jeanne Arthes,for women,"Lemon, Black Currant and Bergamot","Orchid, Lotus, Fruity Notes and Ylang-Ylang","Sandalwood, Dark Chocolate, Olibanum, Patchouli and Vanilla","['woody', 'warm spicy', 'sweet', 'floral', 'fruity', 'citrus', 'powdery', 'amber', 'chocolate', 'patchouli']",Winter,Night
Les Lions d'Arthes Homme Jeanne Arthesfor men,Jeanne Arthes,for men,"Lavender, Bergamot and Pink Pepper",Cacao and Patchouli,"Iris, Leather, Vetiver and Amber","['woody', 'earthy', 'iris', 'aromatic', 'cacao', 'warm spicy', 'leather', 'powdery', 'lavender', 'amber']",Fall,Night
Les Lions D'Arthes Men Jeanne Arthesfor men,Jeanne Arthes,for men,"Bergamot, Lavender, Fig Leaf and Lemon","Cardamom, Nutmeg, Jasmine, Lily-of-the-Valley and Sandalwood","Musk, Vetiver, Amber and Cedar","['citrus', 'aromatic', 'warm spicy', 'fresh spicy', 'musky', 'powdery', 'white floral', 'woody', 'green', 'fresh']",Spring,Day
Love Generation Art's Jeanne Arthesfor women,Jeanne Arthes,for women,"Orange, Raspberry and Mandarin Orange",Jasmine and African Orange Flower,White Honey and Patchouli,"['citrus', 'white floral', 'sweet', 'honey', 'fruity', 'patchouli', 'floral', 'woody', 'warm spicy']",All Season,Any
Love Generation Blue Jeanne Arthesfor women,Jeanne Arthes,for women,"Kumquat, Bergamot and Cassis","Heliotrope, Peach, Freesia, Peony and Jasmine","Vanilla, Sandalwood, Musk and Amber","['vanilla', 'powdery', 'citrus', 'floral', 'aromatic', 'fruity', 'fresh', 'woody', 'sweet', 'soft spicy']",All Season,Night
Love Generation Do Brasil Jeanne Arthesfor women,Jeanne Arthes,for women,"Mango, Pineapple and Mandarin Orange","Piña Colada, Cotton Candy and Peach","Coconut, Sandalwood, Musk and Woodsy Notes","['sweet', 'fruity', 'coconut', 'tropical']",Summer,Night
Love Generation Fashion Victim Jeanne Arthesfor women,Jeanne Arthes,for women,"Pear, Orange and Grapefruit","Ginger flower, Peach and Jasmine","Vanilla, Sandalwood and Musk","['powdery', 'citrus', 'vanilla', 'warm spicy', 'sweet', 'fruity', 'woody', 'musky', 'fresh', 'white floral']",All Season,Night
Love Generation Freedom Jeanne Arthesfor women,Jeanne Arthes,for women,Mandarin Orange and Lemon,"Green Tea, Apple Tree Blossom, Peony, Jasmine and Peach",Tea and White Musk,"['floral', 'fresh', 'citrus', 'green', 'fruity', 'white floral', 'rose']",Spring,Day
Love Generation Leopard Jeanne Arthesfor women,Jeanne Arthes,for women,"Orange, Green Tea, Bergamot and Rose","Orange Blossom, Jasmine and Freesia","Patchouli, Osmanthus and Musk","['floral', 'citrus', 'white floral', 'patchouli', 'fruity', 'woody', 'musky', 'warm spicy', 'sweet', 'earthy']",Spring,Day
Love Generation Mystic Jeanne Arthesfor women,Jeanne Arthes,for women,"Walnut, Orange and Pink Pepper","Jasmine, Ginger and Orange Blossom","Vanilla, Cashmere Wood, Amber and Sandalwood","['woody', 'white floral', 'citrus', 'amber', 'vanilla', 'warm spicy', 'nutty', 'sweet', 'powdery', 'soft spicy']",Winter,Night
Love Generation Pin Up Jeanne Arthesfor women,Jeanne Arthes,for women,Bergamot and Tangerine,Rose and Jasmine,"Musk, Sandalwood and Patchouli","['citrus', 'musky', 'rose', 'white floral', 'powdery', 'woody', 'floral', 'fresh spicy', 'sweet', 'warm spicy']",Spring,Any
Love Generation Rock Jeanne Arthesfor women,Jeanne Arthes,for women,"Saffron, Thyme and Mandarin Orange","Ylang-Ylang, Lily and Orchid","Vanille, Tonka Bean, Brazilian Rosewood and Oak","['vanilla', 'sweet', 'woody', 'warm spicy', 'aromatic', 'yellow floral', 'white floral', 'metallic', 'balsamic', 'powdery']",Spring,Night
Love Generation Sexy Jeanne Arthesfor women,Jeanne Arthes,for women,Amalfi Lemon and Tangerine,Red Apple and Jasmine,"Vanilla, Raspberry, Musk and Sandalwood","['fruity', 'vanilla', 'sweet', 'powdery', 'citrus', 'musky']",All Season,Night
Love Never Dies Jeanne Arthesfor women,Jeanne Arthes,for women,"Black Currant, Star Anise, Cassis and Amalfi Lemon","Violet, Lily and Rose","Vanilla, Amber and Sandalwood","['soft spicy', 'fruity', 'powdery', 'vanilla', 'anis', 'floral', 'woody', 'aromatic', 'green', 'violet']",Spring,Night
Love Never Dies Black Jewel Jeanne Arthesfor women,Jeanne Arthes,for women,Lemon and Mandarin Orange,Orange Blossom and Jasmine,"Honey, Patchouli and Cedar","['white floral', 'citrus', 'woody', 'honey', 'sweet', 'patchouli', 'floral', 'warm spicy']",All Season,Any
Love Never Dies Diva Jeanne Arthesfor women,Jeanne Arthes,for women,"Black Currant, Mandarin Orange and Red Apple","Jasmine, Nectarine, Cyclamen and Rose","Peach, Musk and Virginia Cedar","['fruity', 'floral', 'white floral', 'sweet', 'citrus', 'fresh', 'powdery']",Spring,Any
Love Never Dies Night Dream Jeanne Arthesfor women,Jeanne Arthes,for women,"Pink Pepper, Bergamot, Blood Orange and Cinnamon","Cedar, Rose, Rose Oil and Coconut","Vanilla, Almond, Tonka Bean, Sandalwood and Tolu Balsam","['citrus', 'vanilla', 'sweet', 'soft spicy', 'woody', 'almond', 'powdery', 'fresh spicy', 'fruity', 'aromatic']",Summer,Any
Love'n Blue Jeanne Arthesfor women,Jeanne Arthes,for women,"Black Currant, Coriander, Ylang-Ylang and Mandarin Orange","Jasmine, Tuberose and Rose","mulberry, Raspberry, Vanilla and Musk","['fruity', 'white floral', 'sweet', 'woody']",Spring,Night
Lovely Sweet Sixteen Jeanne Arthesfor women,Jeanne Arthes,for women,"Black Currant, Lemon, Mandarin Orange and Green Leaves","Peach, Apple, Freesia, Rose and Lily-of-the-Valley","Sandalwood, White Musk, Cedar and Amber","['fruity', 'citrus', 'woody', 'green', 'floral', 'powdery', 'fresh', 'aromatic', 'musky']",Spring,Day
Lover Jeanne Arthesfor women,Jeanne Arthes,for women,"Passionfruit, Freesia and Mandarin Orange","Raspberry, Black Currant, Plum, Apricot, Honeysuckle and Jasmine","Mahogany, Virginia Cedar and Amber","['fruity', 'sweet', 'woody', 'floral', 'white floral', 'tropical']",Spring,Night
Lover in Dark Jeanne Arthesfor women,Jeanne Arthes,for women,Plum and Apple,"Thyme, Cinnamon and Jasmine","Vanilla, Cedar and Sandalwood","['woody', 'fruity', 'aromatic', 'vanilla', 'powdery', 'warm spicy', 'sweet', 'cinnamon', 'fresh spicy']",Winter,Night
Lover Sweet Juice Jeanne Arthesfor women,Jeanne Arthes,for women,"Pear, Peach and Rose",Jasmine and Violet,Musk and Tonka Bean,"['fruity', 'sweet', 'musky', 'powdery', 'white floral', 'rose', 'fresh', 'aquatic', 'vanilla', 'floral']",Spring,Night
Luxure Jeanne Arthesfor women,Jeanne Arthes,for women,"Bergamot, Lemon, Orange, Black Currant and Mandarin Orange","Peach, Jasmine, Ylang-Ylang, Rose and Tuberose","Sandalwood, Vetiver, Vanilla, Amber, Musk and Cedar","['woody', 'white floral', 'citrus', 'powdery', 'fruity', 'sweet', 'aromatic', 'floral', 'warm spicy', 'yellow floral']",All Season,Night
Made In Love Jeanne Arthesfor women,Jeanne Arthes,for women,"Violet, Magnolia, Wild Orchid and Orris Root",White Sandalwood and Amber,Musk and Osmanthus,"['floral', 'powdery', 'violet', 'woody', 'musky', 'iris', 'fruity']",Spring,Night
Mascarade Jeanne Arthesfor women,Jeanne Arthes,for women,"Lemon, Bergamot and Green Notes","Tuberose, Nutmeg, Coriander, Cloves, Rose, Jasmine, Orange Blossom and Ylang-Ylang","Sandalwood, Musk, Cedar, Vanilla and Guaiac Wood","['white floral', 'woody', 'citrus', 'fresh spicy', 'tuberose', 'warm spicy', 'aromatic', 'powdery', 'green', 'rose']",Spring,Day
Mezza Luna Jeanne Arthesfor women,Jeanne Arthes,for women,"Aldehydes, Tagetes, Galbanum, Bergamot and Tangerine","Jasmine, Rose, Peach, Raspberry, Lily-of-the-Valley and Green Apple","Sandalwood, Vanilla, Vetiver, Musk and Oakmoss","['woody', 'white floral', 'powdery', 'vanilla', 'aromatic', 'balsamic', 'sweet', 'green', 'floral', 'warm spicy']",Spring,Night
Mixte Femme Jeanne Arthesfor women,Jeanne Arthes,for women,"Raspberry, Peach and Citruses","Rose, Jasmine and Lily",Vanilla and Musk,"['rose', 'fruity', 'sweet', 'vanilla', 'white floral', 'powdery', 'musky', 'floral', 'citrus']",Spring,Night
Mixte Homme Jeanne Arthesfor men,Jeanne Arthes,for men,"Green Notes, Citruses and Petitgrain",Herbal Notes,Musk,"['green', 'citrus', 'musky', 'fresh', 'powdery']",Summer,Day
